Age;population;incidence;mortality cancer;mortality all
0;847281;0;0;5677
1;822373;0;0;633
2;798780;0;0;343
3;776502;0;0;272
4;755540;0;0;227
5;735892;0;0;221
6;717560;0;0;158
7;700544;0;0;161
8;684842;0;0;151
9;670456;0;0;134
10;657385;0;0;151
11;645629;0;0;142
12;635188;0;0;152
13;629104;0;0;176
14;639539;0;0;211
15;669536;0;0;288
16;719094;0;0;338
17;788212;0;0;410
18;872465;0;0;515
19;954149;0;0;668
20;1028836;1;0;730
21;1096527;2;1;800
22;1157223;2;1;914
23;1209030;3;2;979
24;1244383;5;2;1095
25;1261390;6;3;1211
26;1260052;8;4;1436
27;1240367;10;5;1600
28;1206374;13;6;1677
29;1174227;15;6;1855
30;1147964;18;7;2032
31;1127584;20;7;2097
32;1113089;23;7;2204
33;1103169;25;7;2195
34;1092594;28;8;2262
35;1080058;32;9;2517
36;1065560;35;11;2451
37;1049099;39;14;2444
38;1030979;43;17;2577
39;1012409;47;20;2683
40;993692;51;22;2842
41;974828;55;24;2944
42;955816;59;24;3020
43;940119;64;25;3093
44;941582;74;29;3239
45;963666;90;35;3508
46;1006372;113;46;3784
47;1069699;143;59;4407
48;1146331;177;75;4987
49;1207000;208;90;5673
50;1244389;235;103;6409
51;1258498;257;113;7085
52;1249327;274;121;7359
53;1221888;288;128;7539
54;1196236;306;136;8230
55;1177381;328;147;9396
56;1165325;356;161;9929
57;1160067;388;177;10533
58;1155404;421;194;11531
59;1126517;439;204;12099
60;1067203;439;205;12433
61;977462;419;197;12834
62;857293;381;181;10485
63;719211;331;160;11263
64;613273;295;149;8984
65;551992;280;151;9218
66;535369;287;166;9765
67;563404;315;195;9916
68;625130;360;233;14084
69;676686;399;268;14989
70;707104;427;294;18130
71;716385;446;312;21370
72;704530;454;322;21770
73;674678;451;324;24518
74;639389;441;322;25895
75;601803;423;315;27442
76;561921;397;305;27130
77;519742;363;290;28794
78;475951;323;271;30156
79;433286;284;252;30096
80;392430;248;233;30543
81;353384;213;215;30257
82;316149;182;197;30847
83;280723;153;179;29703
84;247106;126;162;28714
85;215300;102;144;27748
86;185304;80;128;26928
87;157117;61;111;23599
88;130741;44;95;22453
89;106174;0;0;19400
90;83417;0;0;17028
91;65538;;;17879
92;51491;;;14047
93;40455;;;11036
94;31784;;;8671
95;24972;;;6812
96;19620;;;5352
97;15415;;;4205
98;12111;;;3304
99;9515;;;2596
100;7475;;;2040
101;5872;;;1603
102;4613;;;1259
103;3624;;;989
104;2847;;;777
105;2237;;;610
106;1758;;;479
107;1382;;;376
108;1086;;;296
109;853;;;233
110;670;;;183
