Age;female population;male population;incidence female;incidence male;mortality cancer female;mortality cancer male;mortality all female;mortality all male
0;847281;882258;0;0;0;0;5677;7402
1;822373;857808;0;0;0;0;633;738
2;798780;834547;0;0;0;0;343;484
3;776502;812476;0;0;0;0;272;382
4;755540;791594;0;0;0;0;227;340
5;735892;771903;0;0;0;0;221;301
6;717560;753402;0;0;0;0;158;249
7;700544;736090;0;0;0;0;161;258
8;684842;719968;0;0;0;0;151;295
9;670456;705036;0;0;0;0;134;226
10;657385;691294;0;0;0;0;151;214
11;645629;678742;0;0;0;0;142;265
12;635188;667380;0;0;0;0;152;234
13;629104;660409;0;0;0;0;176;284
14;639539;670635;0;0;0;0;211;329
15;669536;701260;0;0;0;0;288;470
16;719094;752284;0;0;0;0;338;730
17;788212;823707;0;0;0;0;410;972
18;872465;910703;0;0;0;0;515;1348
19;954149;993970;0;0;0;0;668;1670
20;1028836;1068681;1;2;0;2;730;2159
21;1096527;1134837;2;3;1;2;800;2735
22;1157223;1192439;2;3;1;2;914;3065
23;1209030;1239861;3;4;2;1;979;3509
24;1244383;1270610;5;5;2;1;1095;3748
25;1261390;1283061;6;6;3;1;1211;4337
26;1260052;1277215;8;8;4;2;1436;4866
27;1240367;1253072;10;10;5;3;1600;5438
28;1206374;1214401;13;12;6;4;1677;5951
29;1174227;1176285;15;14;6;5;1855;6352
30;1147964;1142493;18;15;7;6;2032;7152
31;1127584;1113027;20;16;7;7;2097;7135
32;1113089;1087885;23;17;7;7;2204;7485
33;1103169;1066525;25;18;7;7;2195;7380
34;1092594;1046777;28;20;8;7;2262;7872
35;1080058;1028099;32;22;9;8;2517;8050
36;1065560;1010490;35;25;11;10;2451;7902
37;1049099;993951;39;30;14;12;2444;7733
38;1030979;977921;43;35;17;15;2577;7794
39;1012409;960159;47;39;20;18;2683;7816
40;993692;940105;51;43;22;21;2842;8517
41;974828;917758;55;46;24;24;2944;8260
42;955816;893119;59;48;24;27;3020;8476
43;940119;869617;64;51;25;30;3093;9105
44;941582;860970;74;59;29;35;3239;9238
45;963666;870610;90;73;35;43;3508;10421
46;1006372;898535;113;93;46;52;3784;11079
47;1069699;944745;143;118;59;63;4407;12206
48;1146331;1002424;177;149;75;76;4987;14014
49;1207000;1044303;208;180;90;90;5673;15268
50;1244389;1063564;235;211;103;103;6409;17453
51;1258498;1060209;257;241;113;116;7085;18299
52;1249327;1034237;274;270;121;129;7359;19113
53;1221888;990425;288;299;128;142;7539;19115
54;1196236;947882;306;331;136;160;8230;20266
55;1177381;911384;328;365;147;183;9396;21828
56;1165325;880933;356;403;161;211;9929;21891
57;1160067;856528;388;443;177;243;10533;22030
58;1155404;834226;421;483;194;278;11531;23759
59;1126517;798258;439;505;204;299;12099;23277
60;1067203;744680;439;507;205;303;12433;25498
61;977462;673492;419;488;197;291;12834;26098
62;857293;584695;381;448;181;262;10485;20529
63;719211;485510;331;395;160;223;11263;20959
64;613273;404823;295;354;149;195;8984;15723
65;551992;349856;280;331;151;184;9218;15194
66;535369;320608;287;328;166;190;9765;14976
67;563404;317080;315;344;195;214;9916;13701
68;625130;333476;360;374;233;250;14084;18735
69;676686;346613;399;399;268;282;14989;18863
70;707104;350697;427;414;294;303;18130;21035
71;716385;345727;446;419;312;315;21370;23430
72;704530;331703;454;413;322;316;21770;21856
73;674678;310016;451;399;324;310;24518;22644
74;639389;286226;441;378;322;298;25895;22457
75;601803;261725;423;351;315;282;27442;22066
76;561921;236513;397;318;305;263;27130;20477
77;519742;210588;363;280;290;239;28794;19802
78;475951;184363;323;237;271;212;30156;18772
79;433286;159477;284;197;252;187;30096;16903
80;392430;136342;248;160;233;162;30543;15062
81;353384;114958;213;126;215;140;30257;13325
82;316149;95324;182;95;197;119;30847;12308
83;280723;77440;153;68;179;99;29703;10464
84;247106;61307;126;44;162;82;28714;8880
85;215300;46924;102;24;144;66;27748;7195
86;185304;34292;80;7;128;51;26928;5883
87;157117;23411;61;0;111;38;23599;3988
88;130741;14279;44;0;95;27;22453;2772
89;106174;6899;0;0;0;0;19400;1422
90;83417;1269;0;0;0;0;17028;281
