Age;population;incidence;mortality cancer;mortality all
0;882258;0;0;7402
1;857808;0;0;738
2;834547;0;0;484
3;812476;0;0;382
4;791594;0;0;340
5;771903;0;0;301
6;753402;0;0;249
7;736090;0;0;258
8;719968;0;0;295
9;705036;0;0;226
10;691294;0;0;214
11;678742;0;0;265
12;667380;0;0;234
13;660409;0;0;284
14;670635;0;0;329
15;701260;0;0;470
16;752284;0;0;730
17;823707;0;0;972
18;910703;0;0;1348
19;993970;0;0;1670
20;1068681;2;2;2159
21;1134837;3;2;2735
22;1192439;3;2;3065
23;1239861;4;1;3509
24;1270610;5;1;3748
25;1283061;6;1;4337
26;1277215;8;2;4866
27;1253072;10;3;5438
28;1214401;12;4;5951
29;1176285;14;5;6352
30;1142493;15;6;7152
31;1113027;16;7;7135
32;1087885;17;7;7485
33;1066525;18;7;7380
34;1046777;20;7;7872
35;1028099;22;8;8050
36;1010490;25;10;7902
37;993951;30;12;7733
38;977921;35;15;7794
39;960159;39;18;7816
40;940105;43;21;8517
41;917758;46;24;8260
42;893119;48;27;8476
43;869617;51;30;9105
44;860970;59;35;9238
45;870610;73;43;10421
46;898535;93;52;11079
47;944745;118;63;12206
48;1002424;149;76;14014
49;1044303;180;90;15268
50;1063564;211;103;17453
51;1060209;241;116;18299
52;1034237;270;129;19113
53;990425;299;142;19115
54;947882;331;160;20266
55;911384;365;183;21828
56;880933;403;211;21891
57;856528;443;243;22030
58;834226;483;278;23759
59;798258;505;299;23277
60;744680;507;303;25498
61;673492;488;291;26098
62;584695;448;262;20529
63;485510;395;223;20959
64;404823;354;195;15723
65;349856;331;184;15194
66;320608;328;190;14976
67;317080;344;214;13701
68;333476;374;250;18735
69;346613;399;282;18863
70;350697;414;303;21035
71;345727;419;315;23430
72;331703;413;316;21856
73;310016;399;310;22644
74;286226;378;298;22457
75;261725;351;282;22066
76;236513;318;263;20477
77;210588;280;239;19802
78;184363;237;212;18772
79;159477;197;187;16903
80;136342;160;162;15062
81;114958;126;140;13325
82;95324;95;119;12308
83;77440;68;99;10464
84;61307;44;82;8880
85;46924;24;66;7195
86;34292;7;51;5883
87;23411;0;38;3988
88;14279;0;27;2772
89;6899;0;0;1422
90;1269;0;0;281
91;233;;;1036
92;43;;;190
93;8;;;35
94;1;;;7
95;0;;;1
96;0;;;0
97;0;;;0
98;0;;;0
99;0;;;0
100;0;;;0
101;0;;;0
102;0;;;0
103;0;;;0
104;0;;;0
105;0;;;0
106;0;;;0
107;0;;;0
108;0;;;0
109;0;;;0
110;0;;;0
