Anton;huang2017.pdf;a bayesian simulation model for breast cancer screening incidence treatment and mortality;Huang, Xuelin, Li, Yisheng, Song, Juhee, Berry, Donald A.;2018
Noneg;carter2003.pdf;A computer model for the study of breast cancer;Carter KJ1, Castro F, Kessler E, Erickson B.;2003
q12;kulasingam2007.pdf;a cost-effectiveness analysis of adding a human papillomavirus vaccine to the australian national cervical cancer screening program;Kulasingam S1, Connelly L, Conway E, Hocking JS, Myers E, Regan DG, Roder D, Ross J, Wain G.;2007
q12;dee2009.pdf;a cost-utility analysis of adding a bivalent or quadrivalent hpv vaccine to the irish cervical screening programme;Eur J Public Health. 2010 Apr.20(2):213-9. doi: 10.1093/eurpub/ckp141. Epub 2009 Oct 28.;2877
q12;guerrero2015.pdf;a cost-utility analysis of cervical cancer screening and human papillomavirus vaccination in the philippines;Guerrero AM1, Genuino AJ1, Santillan M2, Praditsitthikorn N3, Chantarastapornchit V4, Teerawattananon Y5, Alejandria M6, Toral JA7.;2015
Anton;anonychuk2009.pdf;a cost-utility analysis of cervical cancer vaccination in preadolescent canadian females;Anonychuk AM1, Bauch CT, Merid MF, Van Kriekinge G, Demarteau N.;2009
q12;villanti2013.pdf;a cost-utility analysis of lung cancer screening and the additional benefits of incorporating smoking cessation interventions;PLoS One. 2013 Aug 7.8(8):e71379. doi: 10.1371/journal.pone.0071379. Print 2013.;2011
FromReview;khandker2000.pdf;A DECISION MODEL AND cost-effectiveness ANALYSIS OF COLORECTAL CANCER SCREENING AND SURVEILLANCE GUIDELINES FOR AVERAGE-RISK ADULTS;;
Anton;berg2009.pdf;a discrete event simulation model to evaluate operational performance of a colonoscopy suite;Berg B., Denton B., Nelson H., Balasubramanian H., Rahman A., Bailey A., Lindor K.;2010
Anton;akhavantabatabaei2016.pdf;a markov decision process model for cervical cancer screening policies in colombia;Akhavan-Tabatabaei R., Sanchez D.M., Yeung T.G.;2016
FromReview;plevritis2001.pdf;A mathematical algorithm that computes breast cancer sizes and doubling times detected by screening.;;
Noneg;caleffi2009.pdf;a model to optimize public health care and downstage breast cancer in limited-resource populations in southern brazil porto alegre breast health intervention cohort;Caleffi M1, Ribeiro RA, Duarte Filho DL, Ashton-Prolla P, Bedin AJ Jr, Skonieski GP, Zignani JM, Giacomazzi J, Franco LR, Graudenz M, Pohlmann P, Fernandes JG, Kivitz P, Weber B.;2009
FromReview;shen2005.pdf;a model-based comparison of breast cancer screening strategies mammograms and clinical breast examinations;Shen, Y  Parmigiani, G;2005
Anton;kolevakolarova2018.pdf;a modelling study to evaluate the costs and effects of lowering the starting age of population breast cancer screening;Maturitas. 2018 Mar.109:81-88. doi: 10.1016/j.maturitas.2017.12.009. Epub 2017 Dec 15.;2017
Anton;plevritis2006.pdf;a natural history model of stage progression applied to breast cancer;Plevritis S.K., Salzman P., Sigal B.M., Glynn P.W.;2007
Anton;draisma2013.pdf;a note on the catch-up time method for estimating lead or sojourn time in prostate cancer screening;Draisma, Gerrit  van Rosmalen, Joost;2013
Anton;goldie2003.pdf;a potential error in evaluating cancer screening a comparison of 2 approaches for modeling underlying disease progression;Goldie S.J., Kuntz K.M.;2003
Noneg;wu2009.pdf;a projection of benefits due to fecal occult blood test for colorectal cancer;Wu D1, Erwin D, Rosner GL.;2009
FromReview;hassan2010.pdf;A Resect and Discard Strategy Would Improve cost-effectiveness ofColorectal Cancer Screening;;
FromReview;3001506.pdf;A review and critique of modelling in prioritising and designing screening programmes;;
Anton;haug2005.pdf;a simulation model for colorectal cancer screening potential of stool tests with various performance characteristics compared with screening colonoscopy;Haug, U  Brenner, H;2005
Noneg;lejeune2003.pdf;A simulation model for evaluating the medical and economic outcomes of screening strategies for colorectal cancer;Lejeune C1, Arveux P, Dancourt V, Fagnani F, Bonithon-Kopp C, Faivre J.;2003
FromReview;bailey2010.pdf;a simulation model investigating the impact of tumor volume doubling time and mammographic tumor detectability on screening outcomes in women aged 40-49 years;Bailey, Stephanie L.  Sigal, Bronislava M.  Plevritis, Sylvia K.;2010
