 <1998;Are increases in mammographic screening still a valid explanation for trends in breast cancer incidence in the United States?; Wun L.-M., Feuer E.J., Miller B.A. ;1980
 <1998;Screening women aged 40-49 years: where are we today?;Comment,Editorial,Adult,Age Factors,American Cancer Society,Breast Neoplasms/diagnosis,Breast Neoplasms/mortality*,Breast Neoplasms/prevention & control*,Computer Simulation,Female,Humans,Mammography*,Mass Screening*,Middle Aged,National Institutes of Health (U.S.),Population Surveillance,Sweden,United States;1995
 double;Cost-effectiveness analysis for breast cancer screening: double reading versus single plus CAD reading;Sato, Miho  Kawai, Masaaki  Nishino, Yoshikazu  Shibuya, Daisuke  Ohuchi, Noriaki  Ishibashi, Tadashi;2014
 double;Cost-effectiveness of using human papillomavirus cancer screening;Vijayaraghavan, Arthi, Efrusy, Molly B., Goodman, Karyn A., Santas, Christopher C., Huh, Warner K.;2010
 double;Estimation of the tumor size at cure threshold among aggressive non-small cell lung cancers (NSCLCs): evidence from the surveillance, epidemiology, and end results (SEER) program and the national lung screening trial (NLST);Goldwasser, Deborah L.;2017
 double;Evaluation of a selective screening for colorectal carcinoma - The Taiwan Multicenter Cancer Screening (TAMCAS) project;Chen, THH  Yen, MF  Lai, MS  Koong, SL  Wang, CY  Wong, JM  Prevost, TC  Duffy, SW;1999
 double;Predicting the change in breast cancer deaths in Spain by 2019: a Bayesian approach.;Cl?ries R1, Mart??nez JM, Moreno V, Yasui Y, Ribes J, Borr?s JM.;2013
 double;Simulation modeling for stratified breast cancer screening - a systematic review of cost and quality of life assumptions;Arnold, Matthias;2017
 double;SYSTEMATIC REVIEW OF MARKOV MODEL-BASED ECONOMIC EVALUATION STUDIES FOR CERVICAL CANCER SCREENING STRATEGIES: LATIN AMERICA COUNTRIES PANORAMA;Viscondi, J. Y.  Faustino, C. G.  Campolina, A. G.  De Soarez, P. C.;2017
 double;The Cost-Effectiveness of Visual Triage of Human Papillomavirus-Positive Women in Three Low- and Middle-Income Countries.;Campos NG1, Jeronimo J2, Tsu V2, Castle PE3,4, Mvundura M5, Kim JJ6.;2017
 double;The value of colonoscopic colorectal cancer screening of adults aged 50 to 64.;Am J Manag Care. 2015 Jul 1.21(7):e430-8.;2013
