"one",A modelling study to evaluate the costs and effects of lowering the starting age of population breast cancer screening.;Abstract BACKGROUND: Because the incidence of breast cancer increases between 45 and 50years of age, a reconsideration is required of the current starting age (typically 50years) for routine mammography. Our aim was to evaluate the quantitative benefits, harms, and cost-effectiveness of lowering the starting age of breast cancer screening in the Dutch general population. METHODS: Economic modelling with a lifelong perspective compared biennial screening for women aged 48-74years and for women aged 46-74years with the current Dutch screening programme, which screen women between the ages of 50 and 74years. Tumour deaths prevented, years of life saved (YOLS), false-positive rates, radiation-induced tumours, costs and incremental cost-effectiveness ratios (ICERs) were evaluated. RESULTS: Starting the screening at 48 instead of 50 years of age led to increases in: the number of small tumours detected (4.0%), tumour deaths prevented (5.6%), false positives (9.2%), YOLS (5.6%), radiation-induced tumours (14.7%), and costs (4.1%). Starting the screening at 46 instead of 48 years of age increased the number of small tumours detected (3.3%), tumour deaths prevented (4.2%), false positives (8.8%), YOLS (3.7%), radiation-induced tumours (15.2%), and costs (4.0%). The ICER was �5600/YOLS for the 48-74 scenario and �5600/YOLS for the 46-74 scenario. CONCLUSIONS: Women could benefit from lowering the starting age of screening as more breast cancer deaths would be averted. Starting regular breast cancer screening earlier is also cost-effective. As the number of additional expected harms is relatively small in both the scenarios examined, and the difference in ICERs is not large, introducing two additional screening rounds is justifiable. Copyright � 2017 Elsevier B.V. All rights reserved.;Maturitas. 2018 Mar.109:81-88. doi: 10.1016/j.maturitas.2017.12.009. Epub 2017 Dec 15.;Koleva-Kolarova RG1, Daszczuk AM2, de Jonge C3, Abu Hantash MK4, Zhan ZZ5, Postema EJ6, Feenstra TL7, Pijnappel RM8, Greuter MJW9, de Bock GH10.;29452787;Aged,Breast Neoplasms/diagnosis*,Cost-Benefit Analysis,Early Detection of Cancer/economics*,Female,Humans,Incidence,Mammography,Mass Screening/economics*,Middle Aged,Models, Theoretical*;Primary Prevention, Early Detection of Cancer, Breast Neoplasms;;model valid;0.704
"one",[Cost-effectiveness of multiple screening modalities on breast cancer in Chinese women from Shanghai].;Abstract Objective: To determine the most cost-effective modality for breast cancer screening in women living in Shanghai. Methods: A Markov model for breast cancer was redeveloped based on true effect which was derived from a project for detection of women at high risk of breast cancer and an organized breast cancer screening program conducted simultaneously in Minhang district, Shanghai, during 2008 to 2012. Parameters of the model were derived from literatures. General principles related to cost-effectiveness analysis were used to compare the costs and effects of 12 different screening modalities in a simulated cohort involving 100 000 women aged 45 years. Incremental cost-effectiveness ratio (ICER) was used to determine the most cost-effective modality. Sensitivity analysis was conducted to evaluate how these factors affected the estimated cost-effectiveness. Results: The modality of biennial CBE followed by ultrasonic and mammography among those with positive CBE was observed as the most cost-effective one. The costs appeared as 182 526 Yuan RMB per life year gained and 144 386 Yuan RMB per quality adjusted life-year (QALY) saved, which were within the threshold of 2-3 times of local per capita Gross Domestic Product. Results from sensitivity analysis showed that, due to higher incidence rate of breast cancer in Shanghai, the cost per QALY would be 64 836 Yuan RMB lower in Shanghai than the average level in China. Conclusion: Our research findings showed that the biennial CBE program followed by ultrasonic and mammography for those with positive CBE results might serve as the optimal breast cancer screening modality for Chinese women living in Shanghai, and thus be widely promoted in this population elsewhere.;Zhonghua Liu Xing Bing Xue Za Zhi. 2017 Dec 10.38(12):1665-1671. doi: 10.3760/cma.j.issn.0254-6450.2017.12.017.;Wu F1, Mo M2, Qin XX3, Fang H4, Zhao GM5, Liu GY2, Chen YY3, Cao ZG2, Yan YJ4, Lyu LL2, Xu WH5, Shao ZM2.;29294584;Asian Continental Ancestry Group/statistics & numerical data*,Breast Neoplasms/diagnosis*,Breast Neoplasms/economics,Breast Neoplasms/ethnology,Breast Neoplasms/prevention & control,China,Cost-Benefit Analysis*,Early Detection of Cancer/economics*,Female,Humans,Mammography/economics*,Markov Chains,Mass Screening/economics*,Mass Screening/methods,Models, Theoretical,Quality-Adjusted Life Years; Early Detection of Cancer, Combined Modality Therapy, Breast Neoplasms,Primary Prevention,Early Detection of Cancer;;model valid;0.8
"not valid",The impact on women's health and the cervical cancer screening budget of primary HPV screening with dual-stain cytology triage in Belgium.;"Abstract Dual stain cytology, or ""diagnostic cytology"", offers a significant increase in sensitivity compared to cytology, with a slight decrease in specificity. This can reduce additional investigations like colposcopies, biopsies, and follow-up visits. Cervical cancer screening for women between 25 and 65 years of age with diagnostic cytology is estimated to reduce the incidence of cervical cancer by 36% and reduce annual cervical cancer mortalities by 40%. The reduced number of screening visits and the decrease in incidence and mortality will improve quality of life. In this article, a model was created to evaluate the cost-effectiveness of diagnostic cytology for Belgium. In this approach, precancerous cells are more likely to be immediately identified during the first screening visit. This reduces both the number and frequency of follow-up visits required. After two cycles (6 years), the prevalence of CIN and cervical cancer is decreased significantly in the screened population. At a population level, these shifts can reduce the screening budget by 21%, resulting in savings of 5.3 million euro a year in Belgium. Diagnostic cytology benefits all stakeholders involved in cervical cancer screening.";Eur J Obstet Gynecol Reprod Biol. 2017 May.212:171-181. doi: 10.1016/j.ejogrb.2017.01.010. Epub 2017 Jan 5.;Tjalma WAA1, Kim E2, Vandeweyer K3.;28081908;Adult,Belgium,Cost-Benefit Analysis,Cytodiagnosis/economics*,Cytodiagnosis/methods,Early Detection of Cancer/economics*,Early Detection of Cancer/methods,Female,Humans,Mass Screening/economics*,Mass Screening/standards,Mass Screening/statistics & numerical data,Middle Aged,Models, Economic,Papillomaviridae/isolation & purification,Papillomavirus Infections/diagnosis*,Uterine Cervical Neoplasms/diagnosis,Uterine Cervical Neoplasms/prevention & control*,Women's Health/economics,Young Adult;Breast Neoplasms,Primary Prevention,Uterine Cervical Neoplasms,Early Detection of Cancer;;model valid;0.504
"not valid",Impact assessment of a pay-for-performance program on breast cancer screening in France using micro data.;Abstract BACKGROUND: A voluntary-based pay-for-performance (P4P) program (the CAPI) aimed at general practitioners (GPs) was implemented in France in 2009. The program targeted prevention practices, including breast cancer screening, by offering a maximal amount of �245 for achieving a target screening rate among eligible women enrolled with the GP. OBJECTIVE: Our objective was to evaluate the impact of the French P4P program (CAPI) on the early detection of breast cancer among women between 50 and 74 years old. METHODS: Based on an administrative database of 50,752 women aged 50-74 years followed between 2007 and 2011, we estimated a difference-in-difference model of breast cancer screening uptake as a function of visit to a CAPI signatory referral GP, while controlling for both supply-side and demand-side determinants (e.g., sociodemographics, health and healthcare use). RESULTS: Breast cancer screening rates have not changed significantly since the P4P program implementation. Overall, visiting a CAPI signatory referral GP at least once in the pre-CAPI period increased the probability of undergoing breast cancer screening by 1.38 % [95 % CI (0.41-2.35 %)], but the effect was not significantly different following the implementation of the contract. CONCLUSION: The French P4P program had a nonsignificant impact on breast cancer screening uptake. This result may reflect the fact that the low-powered incentives implemented in France through the CAPI might not provide sufficient leverage to generate better practices, thus inviting regulators to seek additional tools beyond P4P in the field of prevention and screening.;Eur J Health Econ. 2017 Jun.18(5):609-621. doi: 10.1007/s10198-016-0813-2. Epub 2016 Jun 21.;Sicsic J1, Franc C2.;27329654;Age Factors,Aged,Breast Neoplasms/diagnosis*,Early Detection of Cancer/methods*,Female,France,General Practitioners/economics*,General Practitioners/statistics & numerical data*,Health Services/utilization,Humans,Insurance, Health/statistics & numerical data,Mammography,Middle Aged,Models, Econometric,Referral and Consultation/statistics & numerical data,Reimbursement, Incentive/statistics & numerical data*,Socioeconomic Factors;Primary Prevention, Early Detection of Cancer, Breast Neoplasms;;model valid;0.244
"valid",Generalised cost-effectiveness analysis for breast cancer prevention and care in Hong Kong Chinese.;;;;26645875;Research Support, Non-U.S. Gov't,Adult,Aged,Antineoplastic Protocols,Asian Continental Ancestry Group,Breast Neoplasms/prevention & control*,Breast Neoplasms/therapy,Chemotherapy, Adjuvant/economics,Cost-Benefit Analysis/methods*,Early Detection of Cancer/economics*,Early Detection of Cancer/methods,Female,Health Care Costs*,Hong Kong,Humans,Immunotherapy/economics,Mammography/economics,Markov Chains,Middle Aged,Quality-Adjusted Life Years,Radiotherapy, Adjuvant/economics; Early Detection of Cancer, Combined Modality Therapy, Breast Neoplasms,Primary Prevention,Early Detection of Cancer;;model valid;0.368
"not valid",The National Breast and Cervical Cancer Early Detection Program: 25 Years of public health service to low-income women.;Abstract This article presents an overview of the National Breast and Cervical Cancer Early Detection Program (NBCCEDP), a valuable and successful national public health program in the USA that will soon celebrate its 25th anniversary. Simulation modeling and other analyses have demonstrated that the NBCCEDP has significantly reduced breast and cervical cancer mortality among low-income uninsured and underinsured women in the USA, a major goal of the original legislation. The NBCCEDP has also served to build cancer prevention and control capacity in state and local health agencies and created strong and unique public-private partnerships aimed at improving women's health. As such, the impact of NBCCEDP extends beyond the millions of women served by the program to include increased public health system capacity and effectiveness regarding cancer early detection and control for all women.;Cancer Causes Control. 2015 May.26(5):653-6. doi: 10.1007/s10552-015-0565-9. Epub 2015 Apr 3.;Lantz PM1, Mullen J.;25837262;Breast Neoplasms/diagnosis*,Early Detection of Cancer*,Female,Humans,Mass Screening,Poverty,Public-Private Sector Partnerships*,United States,United States Public Health Service,Uterine Cervical Neoplasms/diagnosis*,Women's Health*;Breast Neoplasms,Primary Prevention,Uterine Cervical Neoplasms,Early Detection of Cancer;;model valid;0.2
"not valid",Impact of the National Breast and Cervical Cancer Early Detection Program on cervical cancer mortality among uninsured low-income women in the U.S., 1991-2007.;Abstract BACKGROUND: The benefits of the National Breast and Cervical Cancer Early Detection Program (NBCCEDP) on cervical cancer screening for participating uninsured low-income women have never been measured. PURPOSE: To estimate the benefits in life-years (LYs) gained. quality-adjusted life-years (QALYs) gained. and deaths averted. METHODS: A cervical cancer simulation model was constructed based on an existing cohort model. The model was applied to NBCCEDP participants aged 18-64 years. Screening habits for uninsured low-income women were estimated using National Health Interview Survey data from 1990 to 2005 and NBCCEDP data from 1991 to 2007. The study was conducted during 2011-2012 and covered all 68 NBCCEDP grantees in 50 states, the District of Columbia, five U.S. territories, and 12 tribal organizations. Separate simulations were performed for the following three scenarios: (1) women who received NBCCEDP (Program) screening. (2) women who received screening without the program (No Program). and (3) women who received no screening (No Screening). RESULTS: Among 1.8 million women screened in 1991-2007, the Program added 10,369 LYs gained compared to No Program, and 101,509 LYs gained compared to No Screening. The Program prevented 325 women from dying of cervical cancer relative to No Program, and 3,829 relative to No Screening. During this time period, the Program accounted for 15,589 QALYs gained when compared with No Program, and 121,529 QALYs gained when compared with No Screening. CONCLUSIONS: These estimates suggest that NBCCEDP cervical cancer screening has reduced mortality among medically underserved low-income women who participated in the program. Published by Elsevier Inc.;Am J Prev Med. 2014 Sep.47(3):300-8. doi: 10.1016/j.amepre.2014.05.016. Epub 2014 Jul 8.;Ekwueme DU1, Uzunangelov VJ2, Hoerger TJ3, Miller JW4, Saraiya M4, Benard VB4, Hall IJ4, Royalty J4, Li C4, Myers ER5.;25015564;Adolescent,Adult,Computer Simulation,Early Detection of Cancer/methods*,Female,Humans,Mass Screening/methods*,Medically Uninsured*,Middle Aged,Poverty,Quality-Adjusted Life Years,United States,Uterine Cervical Neoplasms/diagnosis*,Uterine Cervical Neoplasms/mortality,Young Adult;Breast Neoplasms,Primary Prevention,Uterine Cervical Neoplasms,Early Detection of Cancer;;model valid;0.364
"not valid",Abdominal aortic aneurysm screening: how many life years lost from underuse of the medicare screening benefit?;Abstract BACKGROUND: Since 2007, Medicare has provided one-time abdominal aortic aneurysm (AAA) screening for men with smoking history, and men and women with a family history of AAA as part of its Welcome to Medicare visit. OBJECTIVE: We examined utilization of the new AAA screening benefit and estimated how increased utilization could influence population health as measured by life years gained. Additionally, we explored the impact of expanding screening to women with smoking history. DESIGN: Analysis of Medicare claims and a simulation model to estimate the effects of screening, using published data for parameter estimates. SETTING: AAA screening in the primary care setting. PATIENTS: Newly-enrolled Medicare beneficiaries aged 65 years, with smoking history or family history of AAA. MAIN MEASURES: Life expectancy, 10-year survival rates. KEY RESULTS: Medicare data revealed low utilization of AAA screening, under 1% among those eligible. We estimate that screening could increase life expectancy per individual invited to screening for men with smoking history (0.11 years), with family history of AAA (0.17 years), and women with family history (0.08 years), and smoking history (0.09 years). Average gains of 131 life years per 1,000 persons screened for AAA compare favorably with the grade B United States Preventive Services Task Force (USPSTF) recommendation for breast cancer screening, which yields 95-128 life years per 1,000 women screened. These findings were robust over a range of scenarios. LIMITATIONS: The simulation results reflect assumptions regarding AAA prevalence, treatment, and outcomes in specific populations based on published research and US survey data. Published data on women were limited. CONCLUSIONS: The Welcome to Medicare and AAA screening benefits have been underutilized. Increasing utilization of AAA screening would yield substantial gains in life expectancy. Expanding screening to women with smoking history also has the potential for substantial health benefits.;J Gen Intern Med. 2014 Aug.29(8):1155-61. doi: 10.1007/s11606-014-2831-z. Epub 2014 Apr 9.;Olchanski N1, Winn A, Cohen JT, Neumann PJ.;24715406;Research Support, Non-U.S. Gov't,Aged,Aged, 80 and over,Aortic Aneurysm, Abdominal/diagnosis*,Aortic Aneurysm, Abdominal/mortality*,Aortic Aneurysm, Abdominal/prevention & control,Cohort Studies,Female,Humans,Life Expectancy/trends*,Male,Mass Screening/trends*,Medicare/trends*,Middle Aged,Smoking/mortality,Smoking Prevention,Survival Rate/trends,United States/epidemiology;Primary Prevention, Early Detection of Cancer, Breast Neoplasms;;model valid;0.404
"not valid",Oral contraceptive use for the primary prevention of ovarian cancer.;Abstract OBJECTIVE: To estimate the overall balance of harms and benefits from the potential use of oral contraceptives (OCs) for the primary prevention of ovarian cancer DATA SOURCES: We searched PubMed�, Embase�, the Cochrane Database of Systematic Reviews, and ClinicalTrials.gov for English-language studies published from January 1990 to June 2012 that evaluated the potential benefits (reduction in ovarian, colorectal, and endometrial cancers) and harms (increase in breast and cervical cancer, and vascular complications) of OC use. REVIEW METHODS: Two investigators screened each abstract and full-text article for inclusion. the investigators abstracted data, and they performed quality ratings, applicability ratings, and evidence grading. Random-effects models were used to compute summary estimates of effects. A simulation model was used to estimate the effects of OC use on the overall balance of benefits and harms. RESULTS: We reviewed 55 studies relevant to ovarian cancer outcomes, 66 relevant to other cancers, and 50 relevant to vascular events. Ovarian cancer incidence was significantly reduced in OC users (OR [odds ratio], 0.73. 95% CI [confidence interval], 0.66 to 0.81), with greater reductions seen with longer duration of use. Breast cancer incidence was slightly but significantly increased in OC users (OR, 1.08. 95% CI, 1.00 to 1.17), with a significant reduction in risk as time since last use increased. The risk of cervical cancer was significantly increased in women with persistent human papillomavirus infection who used OCs, but heterogeneity prevented a formal meta-analysis. Incidences of both colorectal cancer (OR, 0.86. 95% CI, 0.79 to 0.95) and endometrial cancer (OR, 0.57. 95% CI, 0.43 to 0.76) were significantly reduced by OC use. The risk of vascular events was increased in current OC users compared with nonusers, although the increase in myocardial infarction was not statistically significant. The overall strength of evidence for ovarian cancer prevention was moderate to low, primarily because of the lack of randomized trials and inconsistent reporting of important characteristics of use, such as duration. The simulation model predicted that the combined increase in risk of breast and cervical cancers and vascular events was likely to be equivalent to or greater than the decreased risk in ovarian cancer, although the harm/benefit ratio was much more favorable when protection against endometrial and colorectal cancers was added, resulting in net gains in life expectancy of approximately 1 month. CONCLUSIONS: There is insufficient evidence to recommend for or against the use of OCs solely for the primary prevention of ovarian cancer. Although the net effects of the current patterns of OC use likely result in increased life expectancy when other noncontraceptive benefits are included, the harm/benefit ratio for ovarian cancer prevention alone is uncertain, particularly when the potential quality-of-life impact of breast cancer and vascular events are considered.;Evid Rep Technol Assess (Full Rep). 2013 Jun.(212):1-514.;Havrilesky LJ, Gierisch JM, Moorman PG, Coeytaux RR, Urrutia RP, Lowery WJ, Dinan M, McBroom AJ, Wing L, Musty MD, Lallinger KR, Hasselblad V, Sanders GD, Myers ER.;24423062;Review,Contraceptives, Oral/administration & dosage*,Female,Humans,Ovarian Neoplasms/prevention & control*,Primary Prevention,Contraceptives, Oral;Breast Neoplasms,Primary Prevention,Uterine Cervical Neoplasms,Early Detection of Cancer;;model valid;0.26
"not valid",Variation in tumor natural history contributes to racial disparities in breast cancer stage at diagnosis.;Abstract Black women tend to be diagnosed with breast cancer at a more advanced stage than whites and subsequently experience elevated breast cancer mortality. We sought to determine whether there are racial differences in tumor natural history that contribute to these disparities. We used the University of Wisconsin Breast Cancer Simulation Model, a validated member of the National Cancer Institute's Cancer Intervention and Surveillance Modeling Network, to evaluate the contribution of racial differences in tumor natural history to observed disparities in breast cancer incidence. We fit eight natural history parameters in race-specific models by calibrating to the observed race- and stage-specific 1975-2000 U.S. incidence rates, while accounting for known racial variation in population structure, underlying risk of breast cancer, screening mammography utilization, and mortality from other causes. The best fit models indicated that a number of natural history parameters must vary between blacks and whites to reproduce the observed stage-specific incidence patterns. The mean of the tumor growth rate parameter was 63.6 % higher for blacks than whites (0.18, SE 0.04 vs. 0.11, SE 0.02). The fraction of tumors considered highly aggressive based on their tendency to metastasize at a small size was 2.2 times greater among blacks than whites (0.41, SE 0.009 vs. 0.019, SE 0.008). Based on our simulation model, breast tumors in blacks grow faster and are more likely to metastasize earlier than tumors in whites. These differences suggest that targeted prevention and detection strategies that go beyond equalizing access to mammography may be needed to eliminate breast cancer disparities.;Breast Cancer Res Treat. 2013 Apr.138(2):519-28. doi: 10.1007/s10549-013-2435-z. Epub 2013 Feb 16.;Batina NG1, Trentham-Dietz A, Gangnon RE, Sprague BL, Rosenberg MA, Stout NK, Fryback DG, Alagoz O.;23417335;Research Support, N.I.H., Extramural,African Americans*,Breast Neoplasms/diagnosis,Breast Neoplasms/epidemiology,Breast Neoplasms/ethnology*,Breast Neoplasms/pathology*,Calibration,European Continental Ancestry Group,Female,Healthcare Disparities,Humans,Incidence,Models, Biological,Neoplasm Staging,SEER Program,Tumor Burden,United States,U01 CA152958/CA/NCI NIH HHS/United States,R03CA130727/CA/NCI NIH HHS/United States,U01 CA063740/CA/NCI NIH HHS/United States,R01CA088211/CA/NCI NIH HHS/United States,U01CA70040/CA/NCI NIH HHS/United States,U01CA63740/CA/NCI NIH HHS/United States,U01CA69976/CA/NCI NIH HHS/United States,U01 CA070040/CA/NCI NIH HHS/United States,U01 CA088211/CA/NCI NIH HHS/United States,U01CA70013/CA/NCI NIH HHS/United States,HHSN261201100031C/PHS HHS/United States,U01 CA086082/CA/NCI NIH HHS/United States,U01 CA063731/CA/NCI NIH HHS/United States,U01 CA086076/CA/NCI NIH HHS/United States,P30 CA014520/CA/NCI NIH HHS/United States,U01CA63736/CA/NCI NIH HHS/United States,U01CA86082/CA/NCI NIH HHS/United States,U01 CA069976/CA/NCI NIH HHS/United States,U01CA86076/CA/NCI NIH HHS/United States,U01 CA063736/CA/NCI NIH HHS/United States,R03 CA130727/CA/NCI NIH HHS/United States,U01CA152958/CA/NCI NIH HHS/United States,U01 CA070013/CA/NCI NIH HHS/United States,U01CA63731/CA/NCI NIH HHS/United States,HHSN261201100031C/CA/NCI NIH HHS/United States;Primary Prevention, Early Detection of Cancer, Breast Neoplasms;;model valid;0.208
