"not valid",J;Paix, Adrien, Noel, Georges, Falcoz, Pierre-Emmanuel, Levy, Pierre;;;;;;;;Cost-effectiveness analysis of stereotactic body radiotherapy and surgery for medically operable early stage non small cell lung cancer;;;;;;;;RADIOTHERAPY AND ONCOLOGY;;;;128;3;;;534;540;;10.1016/j.radonc.2018.04.013;;;SEP 2018;2018;;;;;;;;;;0;;;;;;;WOS:000444505600020
"valid",J;Sun, Li, Legood, Rosa, Sadique, Zia, dos-Santos-Silva, Isabel, Yang, Li;;;;;;;;Cost-effectiveness of risk-based breast cancer screening programme, China;;;;;;;;BULLETIN OF THE WORLD HEALTH ORGANIZATION;;;;96;8;;;568;577;;10.2471/BLT.18.201944;;;AUG 2018;2018;;;;;;;;;;0;;;;;;;WOS:000440630900020
"valid",J;Birnbaum, Jeanette K., Duggan, Catherine, Anderson, Benjamin O., Etzioni, Ruth;;;;;;;;Early detection and treatment strategies for breast cancer in low-income and upper middle-income countries: a modelling study;;;;;;;;LANCET GLOBAL HEALTH;;;;6;8;;;E885;E893;;10.1016/S2214-109X(18)30257-2;;;AUG 2018;2018;;;;;;;;;;1;;;;;;;WOS:000438821600023
"valid",J;Tay, Sun Kuie, Lee, Bee-Wah, Sohn, Woo Yun, Lee, I-Heng, Mathur, Gaurav, Sanicas, Melvin, Van Kriekinge, Georges;;;;;;;;Cost-effectiveness of two-dose human papillomavirus vaccination in Singapore;;;;;;;;SINGAPORE MEDICAL JOURNAL;;;;59;7;;;370;382;;10.11622/smedj.2017085;;;JUL 2018;2018;;;;;;;;;;0;;;;;;;WOS:000439745800007
"not valid",J;Mezei, Alex K., Pedersen, Heather N., Sy, Stephen, Regan, Catherine, Mitchell-Foster, Sheona M., Byamugisha, Josaphat, Sekikubo, Musa, Armstrong, Heather, Rawat, Angeli, Singer, Joel, Ogilvie, Gina S., Kim, Jane J., Campos, Nicole G.;;;;;;;;Community-based HPV self-collection versus visual inspection with acetic acid in Uganda: a cost-effectiveness analysis of the ASPIRE trial;;;;;;;;BMJ OPEN;;;;8;6;;;;;e020484;10.1136/bmjopen-2017-020484;;;JUN 2018;2018;;;;;;;;;;0;;;;;;;WOS:000435567900044
"not valid",J;Castle, Philip E., Wheeler, Cosette M., Campos, Nicole G., Sy, Stephen, Burger, Emily A., Kim, Jane J.;;New Mexico HPV Pap Registry Steer;;;;;;Inefficiencies of over-screening and under-screening for cervical cancer prevention in the US;;;;;;;;PREVENTIVE MEDICINE;;;;111;;;;177;179;;10.1016/j.ypmed.2018.03.011;;;JUN 2018;2018;;;;;;;;;;0;;;;;;;WOS:000432867400023
"not valid",J;de Kok, Inge M. C. M., Korfage, Ida J., van den Hout, Wilbert B., Helmerhorst, Theo J. M., Habbema, J. Dik F., Essink-Bot, Marie-Louise, van Ballegooijen, Marjolein;;;;;;;;Quality of life assumptions determine which cervical cancer screening strategies are cost-effective;;;;;;;;INTERNATIONAL JOURNAL OF CANCER;;;;142;11;;;2383;2393;;10.1002/ijc.31265;;;JUN 1 2018;2018;;;;;;;;;;0;;;;;;;WOS:000429545800020
"valid",J;Wheeler, Stephanie B., Leeman, Jennifer, Lich, Kristen Hassmiller, Tangka, Florence K. L., Davis, Melinda M., Richardson, Lisa C.;;;;;;;;Data-Powered Participatory Decision Making: Leveraging Systems Thinking and Simulation to Guide Selection and Implementation of Evidence-Based Colorectal Cancer Screening Interventions;;;;;;;;CANCER JOURNAL;;;;24;3;;;132;139;;10.1097/PPO.0000000000000317;;;MAY-JUN 2018;2018;;;;;;;;;;0;;;;;;;WOS:000434381000006
"not valid",J;Gopalappa, Chaitra, Guo, Jiachen, Meckoni, Prashant, Munkhbat, Buyannemekh, Pretorius, Carel, Lauer, Jeremy, Ilbawi, Andre, Bertram, Melanie;;;;;;;;A Two-Step Markov Processes Approach for Parameterization of Cancer State-Transition Models for Low- and Middle-Income Countries;;;;;;;;MEDICAL DECISION MAKING;;;;38;4;;;520;530;;10.1177/0272989X18759482;;;MAY 2018;2018;;;;;;;;;;0;;;;;;;WOS:000432097700009
"valid",J;Mandelblatt, Jeanne S., Near, Aimee M., Miglioretti, Diana L., Munoz, Diego, Sprague, Brian L., Trentham-Dietz, Amy, Gangnon, Ronald, Kurian, Allison W., Weedon-Fekjaer, Harald, Cronin, Kathleen A., Plevritis, Sylvia K.;;;;;;;;Common Model Inputs Used in CISNET Collaborative Breast Cancer Modeling;;;;;;;;MEDICAL DECISION MAKING;;;;38;;;;9S;23S;;10.1177/0272989X17700624;;;APR 2018;2018;;;;;;;;;;0;;;;;;;WOS:000429896900002
"not valid",J;Munoz, Diego F., Plevritis, Sylvia K.;;;;;;;;Estimating Breast Cancer Survival by Molecular Subtype in the Absence of Screening and Adjuvant Treatment;;;;;;;;MEDICAL DECISION MAKING;;;;38;;;;32S;43S;;10.1177/0272989X17743236;;;APR 2018;2018;;;;;;;;;;1;;;;;;;WOS:000429896900004
"valid",J;van den Broek, Jeroen J., van Ravesteyn, Nicolien T., Heijnsdijk, Eveline A., de Koning, Harry J.;;;;;;;;Simulating the Impact of Risk-Based Screening and Treatment on Breast Cancer Outcomes with MISCAN-Fadia;;;;;;;;MEDICAL DECISION MAKING;;;;38;;;;54S;65S;;10.1177/0272989X17711928;;;APR 2018;2018;;;;;;;;;;1;;;;;;;WOS:000429896900006
"valid",J;Huang, Xuelin, Li, Yisheng, Song, Juhee, Berry, Donald A.;;;;;;;;A Bayesian Simulation Model for Breast Cancer Screening, Incidence, Treatment, and Mortality;;;;;;;;MEDICAL DECISION MAKING;;;;38;;;;78S;88S;;10.1177/0272989X17714473;;;APR 2018;2018;;;;;;;;;;0;;;;;;;WOS:000429896900008
"not valid",J;Munoz, Diego F., Xu, Cong, Plevritis, Sylvia K.;;;;;;;;A Molecular Subtype-Specific Stochastic Simulation Model of US Breast Cancer Incidence, Survival, and Mortality Trends from 1975 to 2010;;;;;;;;MEDICAL DECISION MAKING;;;;38;;;;89S;98S;;10.1177/0272989X17737508;;;APR 2018;2018;;;;;;;;;;1;;;;;;;WOS:000429896900009
"valid",J;Alagoz, Oguzhan, Ergun, Mehmet Ali, Cevik, Mucahit, Sprague, Brian L., Fryback, Dennis G., Gangnon, Ronald E., Hampton, John M., Stout, Natasha K., Trentham-Dietz, Amy;;;;;;;;The University of Wisconsin Breast Cancer Epidemiology Simulation Model: An Update;;;;;;;;MEDICAL DECISION MAKING;;;;38;;;;99S;111S;;10.1177/0272989X17711927;;;APR 2018;2018;;;;;;;;;;1;;;;;;;WOS:000429896900010
"not valid",J;Low, Siew-Kee, Zembutsu, Hitoshi, Nakamura, Yusuke;;;;;;;;Breast cancer: The translation of big genomic data to cancer precision medicine;;;;;;;;CANCER SCIENCE;;;;109;3;;;497;506;;10.1111/cas.13463;;;MAR 2018;2018;;;;;;;;;;2;;;;;;;WOS:000426596800002
