  Name;Auth;Journal/Year;Abstract;Keys;Pmid;Info
A computer model for the study of breast cancer.;Carter KJ1, Castro F, Kessler E, Erickson B.;Comput Biol Med. 2003 Jul.33(4):345-60.;Abstract A computer model was designed as a relational database to assess breast cancer screening in a cohort of women where the growth and development of breast cancer originates with the first malignant cell. The concepts of thresholds for growth, axillary spread, and distant sites are integrated. With tumor diagnosis, staging was performed that includes clinical and sub-clinical states. The model was parameterized to have staging characteristics similar to data published by the Surveillance, Epidemiology, and End-Results (SEER) Program. Validation was accomplished by comparing simulated staging results with non-SEER sources, and simulated survival with independent clinical survival data.;Research Support, Non-U.S. Gov't,Breast Neoplasms/epidemiology,Breast Neoplasms/mortality,Breast Neoplasms/pathology*,Computer Simulation*,Female,Humans,Incidence,Life Expectancy,Lymphatic Metastasis,Neoplasm Metastasis,SEER Program,Software,United States/epidemiology;12791407;
A Markov model for optimal intervals in prostate cancer screening programs in the era of individual baseline PSA values;Kobayashi, T, Goto-Watanabe, R, Ito, K, Mitsumori, K;2005;;;WOS:000230326602448;
A model to optimize public health care and downstage breast cancer in limited-resource populations in southern Brazil. (Porto Alegre Breast Health Intervention Cohort).;Caleffi M1, Ribeiro RA, Duarte Filho DL, Ashton-Prolla P, Bedin AJ Jr, Skonieski GP, Zignani JM, Giacomazzi J, Franco LR, Graudenz M, Pohlmann P, Fernandes JG, Kivitz P, Weber B.;BMC Public Health. 2009 Mar 13.9:83. doi: 10.1186/1471-2458-9-83.;Abstract BACKGROUND: Breast cancer (BC) is a major public health problem, with rising incidence in many regions of the globe. Although mortality has recently dropped in developed countries, death rates are still increasing in some developing countries, as seen in Brazil. Among the reasons for this phenomenon are the lack of structured screening programs, a long waiting period between diagnosis and treatment, and lack of access to health services for a large proportion of the Brazilian population. METHODS AND DESIGN: Since 2004, an intervention study in a cohort of women in Southern Brazil, denominated Porto Alegre Breast Health Intervention Cohort, is being conducted in order to test the effectiveness and cost-effectiveness of a model for BC early detection and treatment. In this study, over 4,000 women from underserved communities aged 40 to 69 years are being screened annually with mammography and clinical breast examination performed by a multidisciplinary team, which also involves nutritional counseling and genetic cancer risk assessment. Risk factors for BC development are also being evaluated. Active search of participants by lay community health workers is one of the major features of our program. The accrual of new participants was concluded in 2006 and the study will last for 10 years. The main goal of the study is to demonstrate significant downstaging of BC in an underserved population through proper screening, attaining a higher rate of early-stage BC diagnoses than usually seen in women diagnosed in the Brazilian Public Health System. Preliminary results show a very high BC incidence in this population (117 cases per 100,000 women per year), despite a low prevalence of classical risk factors. DISCUSSION: This study will allow us to test a model of BC early diagnosis and treatment and evaluate its cost-effectiveness in a developing country where the mortality associated with this disease is very high. Also, it might contribute to the evaluation of risk factors in a population with a different ethnic background from that studied in developed countries. If our model is proven effective, it may be replicated in other parts of the globe where BC is also a major public health problem.;Research Support, Non-U.S. Gov't,Adult,Brazil/epidemiology,Breast Neoplasms/diagnosis*,Breast Neoplasms/epidemiology,Breast Neoplasms/ethnology,Cohort Studies,Cost-Benefit Analysis,Early Diagnosis,Female,Humans,Mammography/economics,Mass Screening/economics*,Middle Aged,Models, Economic,Risk Factors,Surveys and Questionnaires;19284670;
A modelling study to evaluate the costs and effects of lowering the starting age of population breast cancer screening.;;Maturitas. 2018 Mar.109:81-88. doi: 10.1016/j.maturitas.2017.12.009. Epub 2017 Dec 15.;Abstract BACKGROUND: Because the incidence of breast cancer increases between 45 and 50years of age, a reconsideration is required of the current starting age (typically 50years) for routine mammography. Our aim was to evaluate the quantitative benefits, harms, and cost-effectiveness of lowering the starting age of breast cancer screening in the Dutch general population. METHODS: Economic modelling with a lifelong perspective compared biennial screening for women aged 48-74years and for women aged 46-74years with the current Dutch screening programme, which screen women between the ages of 50 and 74years. Tumour deaths prevented, years of life saved (YOLS), false-positive rates, radiation-induced tumours, costs and incremental cost-effectiveness ratios (ICERs) were evaluated. RESULTS: Starting the screening at 48 instead of 50 years of age led to increases in: the number of small tumours detected (4.0%), tumour deaths prevented (5.6%), false positives (9.2%), YOLS (5.6%), radiation-induced tumours (14.7%), and costs (4.1%). Starting the screening at 46 instead of 48 years of age increased the number of small tumours detected (3.3%), tumour deaths prevented (4.2%), false positives (8.8%), YOLS (3.7%), radiation-induced tumours (15.2%), and costs (4.0%). The ICER was ¯õ?5600/YOLS for the 48-74 scenario and ¯õ?5600/YOLS for the 46-74 scenario. CONCLUSIONS: Women could benefit from lowering the starting age of screening as more breast cancer deaths would be averted. Starting regular breast cancer screening earlier is also cost-effective. As the number of additional expected harms is relatively small in both the scenarios examined, and the difference in ICERs is not large, introducing two additional screening rounds is justifiable. Copyright ¯õ? 2017 Elsevier B.V. All rights reserved.;Aged,Breast Neoplasms/diagnosis*,Cost-Benefit Analysis,Early Detection of Cancer/economics*,Female,Humans,Incidence,Mammography,Mass Screening/economics*,Middle Aged,Models, Theoretical*;29452787;
A projection of benefits due to fecal occult blood test for colorectal cancer.;Wu D1, Erwin D, Rosner GL.;Cancer Epidemiol. 2009 Oct.33(3-4):212-5. doi: 10.1016/j.canep.2009.08.001. Epub 2009 Sep 4.;Abstract OBJECTIVES: A prospective study to estimate benefits due to fecal occult blood tests for colorectal cancer are carried out for both males and females, under different screening frequencies. METHODS: We apply the statistical method developed by Wu et al. (2007) [1] using the Minnesota colorectal cancer study group data, to make Bayesian inference for the lead time, the time of diagnosis advanced by screening for both male and female participants in a periodic screening program. The lead time is distributed as a mixture of a point mass at zero and a piecewise continuous distribution. The two parts of the mixture correspond to two aspects of the screening: the probability of no benefit, or the percentage of interval cases. and the probability distribution of the early diagnosis time. We present estimates of these two measures for males and females by simulation studies using the Minnesota study group data. We also provide the mean, mode, variance, and density curve of the program's lead time by gender. This may provide policy makers important information on the effectiveness of the FOBT screening in colorectal cancer early detection. RESULTS: The mean lead time increases as the screening time interval decreases for both males and females. The standard error of the lead time also increases as the screening time interval decreases for both genders. Females seem get more benefit than males, in that females usually have a longer lead time than males if both take the test at the same time interval and the lead time mode for females is greater than that of males in the same screening time interval. CONCLUSION: According to the predictive estimation of the lead time distribution, to guarantee a 90% chance of early detection, it seems necessary for the males to take the fecal occult blood test every 9 months, while the females can take it annually.;Research Support, N.I.H., Extramural,Adult,Aged,Aged, 80 and over,Bayes Theorem,Colorectal Neoplasms/diagnosis*,Female,Health Policy,Humans,Male,Mass Screening/methods*,Middle Aged,Occult Blood*,Sex Factors,Time Factors,R03 CA115012/CA/NCI NIH HHS/United States,R03 CA115012-02/CA/NCI NIH HHS/United States,CA-115012/CA/NCI NIH HHS/United States;19733140;
A proposal for an evidence-based model of the screening for the colorectal carcinoma in an Italian setting.;Costantino C1, Calamusa G, Cusimano R, Firenze A, Romano N, Trecca A, Vitale F.;J Prev Med Hyg. 2011 Dec.52(4):191-5.;Abstract INTRODUCTION: The aim of this paper is to improve the feasibility perception of policymakers, health care workers and target population about the cost-effectiveness of the implementation of colorectal screening as Public Health strategy. METHODS: Retrospective study by application of a three-step model designed for a local setting in Sicily (Palermo and its Province) in order to distribute Fecal Occult Blood Tests (FOBTs), offer colonoscopy and surgery, by district allocation of pharmacies, public digestive endoscopic centres and oncologic and general surgery units. Mean adherence to consolidated colorectal screening programs in Italy was applied in order to evaluate the feasibility of an operative model in our area. RESULTS: Applying the model to the target population (269,368 individuals of both sexes), it can be expected a mean percentage of 79% delivered invitation and a mean participation rate of 46.3% accounting for a total of 213,070 invited individuals and 98,651 participating in the first round of the program. Furthermore, considering the national mean of 6% positive FOBT, 82% of colonscopy adhesion and 7% CRC detection rate, it can be scheduled a burden for health care structures involved in the program accounting for 49,325 FOBTs, 2,338 colonscopies and 141 surgeries for each year. DISCUSSION: This work demonstrates the feasibility of a colorectal screening project in our area, showing a sustainable impact for local health care involved structures. Furthermore, this program may be spread as an applicative model to other areas, adapting the project to the needs of the local setting in which the colorectal screening will be organized.;Carcinoma/diagnosis,Carcinoma/economics,Carcinoma/prevention & control,Colonoscopy,Colorectal Neoplasms/diagnosis*,Colorectal Neoplasms/economics,Colorectal Neoplasms/prevention & control,Cost-Benefit Analysis,Feasibility Studies,Female,Humans,Italy,Male,Mass Screening*/economics,Models, Economic*,Occult Blood,Retrospective Studies;22442924;
A simulation model for evaluating the medical and economic outcomes of screening strategies for colorectal cancer.;Lejeune C1, Arveux P, Dancourt V, Fagnani F, Bonithon-Kopp C, Faivre J.;Eur J Cancer Prev. 2003 Feb.12(1):77-84.;Abstract Mathematical models have been shown to be useful in predicting the cost-effectiveness of cancer screening programmes. We designed a computer macro-simulation model aimed at predicting the cost-effectiveness of alternative colorectal cancer screening strategies. This model was built to determine the cost-effectiveness of a biennial screening programme using the Hemoccult test in Burgundy (France). It was validated with data from the Danish randomized study. Estimates of our model showed an extremely close concordance with observed results in the Danish study. The observed mortality reduction was 18.0% and the estimated mortality reduction was 18.4%. Preliminary data from the Burgundy study predict a 14.6% colorectal cancer mortality reduction after 10 years. Sensitivity analyses were performed with different assumptions regarding the participation rates and the lead-time. This model can serve to assess the cost-effectiveness of a variety of screening modalities.;Research Support, Non-U.S. Gov't,Aged,Cohort Studies,Colorectal Neoplasms/diagnosis*,Colorectal Neoplasms/economics*,Computer Simulation,Cost-Benefit Analysis,Denmark,Female,Forecasting,France,Humans,Male,Mass Screening/economics*,Middle Aged,Models, Theoretical*,Occult Blood*,Predictive Value of Tests;12548114;
ACCELERATING DECISION-MAKING WITH MICROSIMULATION: THE ADOPTION OF EVIDENCE IN CERVICAL CANCER SCREENING;Fitzgerald, Natalie R., Asakawa, Keiko, Coldman, Andrew, Evans, William K., Flanagan, William M., Gribble, Steve, Lockwood, Gina, Memon, Saima, Miller, Anthony B., Nadeau, Claude, Popadiuk, Cathy, Wolfson, Michael C.;2014;;;WOS:000346343700015;
An alternative cost effectiveness analysis of ThinPrep in the Australian setting.;Neville AM1, Quinn MA.;Aust N Z J Obstet Gynaecol. 2005 Aug.45(4):289-94.;Abstract OBJECTIVE: To assess the clinical and economic impacts of the use of liquid based cytology (LBC) in the Australian average risk population from the perspective of the public health care budget. BACKGROUND: Concerns over the evaluation of medical technologies in Australia, which are assessed by the Medicare Services Advisory Committee (MSAC), have been raised recently. We report on the evaluation of LBC, which although being widely adopted in other parts of the world, has, despite substantial uptake in the private sector in Australia, been rejected for public funding by MSAC. METHODS: We used the health economic model developed by MSAC, but populated the model with the best available international data, sourced from a published review article. The economic model considered the clinical benefits and the costs arising from a biennial cervical screening programme. Net costs divided by life years saved is the cost per life year saved and this is reported as the incremental cost effectiveness. RESULTS: Populating the MSAC model with data on test performance showed that one type of LBC (ThinPrep) 'dominates' the conventional Pap smear in the screening of average risk women in the Australian setting. CONCLUSION: The health economic model created by MSAC predicts that ThinPrep dominates the conventional Pap as a screening test for cervical cancer. An additional 2240 high-grade lesions could be detected, resulting in 480 life years gained and delivering an expected saving to the health care system of $5,536,000 per annum if liquid based cytology replaced the conventional Pap.;Australia,Cost-Benefit Analysis,Female,Health Care Costs*,Humans,Models, Economic,Monte Carlo Method,National Health Programs*,Papanicolaou Test*,Sensitivity and Specificity,Uterine Cervical Neoplasms/economics*,Uterine Cervical Neoplasms/pathology,Uterine Cervical Neoplasms/therapy,Vaginal Smears/economics*,Vaginal Smears/methods*;16029294;
An assessment of existing models for individualized breast cancer risk estimation in a screening program in Spain.;Arrospide A, Fornƒ? C, Ruƒ? M, Torƒÿ N, Mar J, Barƒ? M1.;BMC Cancer. 2013 Dec 10.13:587. doi: 10.1186/1471-2407-13-587.;Abstract BACKGROUND: The aim of this study was to evaluate the calibration and discriminatory power of three predictive models of breast cancer risk. METHODS: We included 13,760 women who were first-time participants in the Sabadell-Cerdanyola Breast Cancer Screening Program, in Catalonia, Spain. Projections of risk were obtained at three and five years for invasive cancer using the Gail, Chen and Barlow models. Incidence and mortality data were obtained from the Catalan registries. The calibration and discrimination of the models were assessed using the Hosmer-Lemeshow C statistic, the area under the receiver operating characteristic curve (AUC) and the Harrell's C statistic. RESULTS: The Gail and Chen models showed good calibration while the Barlow model overestimated the number of cases: the ratio between estimated and observed values at 5 years ranged from 0.86 to 1.55 for the first two models and from 1.82 to 3.44 for the Barlow model. The 5-year projection for the Chen and Barlow models had the highest discrimination, with an AUC around 0.58. The Harrell's C statistic showed very similar values in the 5-year projection for each of the models. Although they passed the calibration test, the Gail and Chen models overestimated the number of cases in some breast density categories. CONCLUSIONS: These models cannot be used as a measure of individual risk in early detection programs to customize screening strategies. The inclusion of longitudinal measures of breast density or other risk factors in joint models of survival and longitudinal data may be a step towards personalized early detection of BC.;Research Support, Non-U.S. Gov't,Aged,Breast Neoplasms/diagnosis,Breast Neoplasms/epidemiology*,Early Detection of Cancer,Female,Follow-Up Studies,Humans,Incidence,Mass Screening,Middle Aged,Models, Statistical*,Reproducibility of Results,Risk*,Spain/epidemiology;24321553;
An evaluation of screening policies for cervical cancer in England and Wales using a computer simulation model.;;J Epidemiol Community Health. 1986 Jun.40(2):143-53.;Abstract Several screening policies have been recommended for implementation in England and Wales in the last 20 years, although no evidence as to their relative effectiveness or efficiency has been provided. Using a computer simulation model, the outcomes expected from those policies had they been implemented over a 30 year period (1961-90) have been examined. The original policies based on five-yearly testing of women aged over 35 appear to be the most cost-effective, and extension of screening to younger age groups leads to loss of efficiency. Attempts to use non-screening health care contacts in order to take cervical smears (eg, during pregnancy, family planning, at gynaecology clinics) produce few advantages and considerably complicate the establishment of regular testing for the individual. The achievement of higher attendance rates is as important to the outcome of screening as concentration on more intensive or complex policies.;Adult,Aged,Computers,England,Evaluation Studies as Topic,Female,Health Policy*/economics,Humans,Mass Screening/economics,Mass Screening/organization & administration*,Middle Aged,Models, Theoretical,Uterine Cervical Neoplasms/epidemiology,Uterine Cervical Neoplasms/mortality,Uterine Cervical Neoplasms/prevention & control*,Wales;3746177;
An Evidence-Based Microsimulation Model for Colorectal Cancer: Validation and Application;Rutter, Carolyn M., Savarino, James E.;2010;;;WOS:000280675000013;
Analytical decision model for sample size and effectiveness projections for use in planning a population-based randomized controlled trial of colorectal cancer screening;Chiu, Sherry Y-H, Malila, Nea, Yen, Amy M-F, Anttila, Ahti, Hakama, Matti, Chen, H-H;2011;;;WOS:000286382500018;
