  Name;Auth;Journal/Year;Abstract;Keys;Pmid;Info
A Bayesian Simulation Model for Breast Cancer Screening, Incidence, Treatment, and Mortality;Huang, Xuelin, Li, Yisheng, Song, Juhee, Berry, Donald A.;MEDICAL DECISION MAKING,2018;;;WOS:000429896900008;
A cost-effectiveness analysis of adding a human papillomavirus vaccine to the Australian National Cervical Cancer Screening Program.;Kulasingam S1, Connelly L, Conway E, Hocking JS, Myers E, Regan DG, Roder D, Ross J, Wain G.;Sex Health. 2007 Sep.4(3):165-75.;Abstract BACKGROUND: The cost-effectiveness of adding a human papillomavirus (HPV) vaccine to the Australian National Cervical Screening Program compared to screening alone was examined. METHODS: A Markov model of the natural history of HPV infection that incorporates screening and vaccination was developed. A vaccine that prevents 100% of HPV 16/18-associated disease, with a lifetime duration of efficacy and 80% coverage offered through a school program to girls aged 12 years, in conjunction with current screening was compared with screening alone using cost (in Australian dollars) per life-year (LY) saved and quality-adjusted life-year (QALY) saved. Sensitivity analyses included determining the cost-effectiveness of offering a catch-up vaccination program to 14-26-year-olds and accounting for the benefits of herd immunity. RESULTS: Vaccination with screening compared with screening alone was associated with an incremental cost-effectiveness ratio (ICER) of $51 103 per LY and $18 735 per QALY, assuming a cost per vaccine dose of $115. Results were sensitive to assumptions about the duration of vaccine efficacy, including the need for a booster ($68 158 per LY and $24 988 per QALY) to produce lifetime immunity. Accounting for herd immunity resulted in a more attractive ICER ($36 343 per LY and $13 316 per QALY) for girls only. The cost per LY of vaccinating boys and girls was $92 052 and the cost per QALY was $33 644. The cost per LY of implementing a catch-up vaccination program ranged from $45 652 ($16 727 per QALY) for extending vaccination to 14-year-olds to $78 702 ($34 536 per QALY) for 26-year-olds. CONCLUSIONS: These results suggest that adding an HPV vaccine to Australia's current screening regimen is a potentially cost-effective way to reduce cervical cancer and the clinical interventions that are currently associated with its prevention via screening alone.;Adolescent,Australia/epidemiology,Cost-Benefit Analysis,Decision Support Techniques*,Female,Human papillomavirus 16*,Humans,Markov Chains,Mass Vaccination/economics*,Mass Vaccination/statistics & numerical data,National Health Programs/economics,Papillomavirus Infections/economics*,Papillomavirus Infections/epidemiology,Papillomavirus Infections/prevention & control,Papillomavirus Vaccines/economics*,Papillomavirus Vaccines/therapeutic use,Quality of Life,Quality-Adjusted Life Years,Uterine Cervical Neoplasms/economics*,Uterine Cervical Neoplasms/epidemiology,Uterine Cervical Neoplasms/prevention & control,Papillomavirus Vaccines;17931529;
A cost-utility analysis of cervical cancer screening and human papillomavirus vaccination in the Philippines.;Guerrero AM1, Genuino AJ1, Santillan M2, Praditsitthikorn N3, Chantarastapornchit V4, Teerawattananon Y5, Alejandria M6, Toral JA7.;BMC Public Health. 2015 Jul 30.15:730. doi: 10.1186/s12889-015-2046-1.;Abstract BACKGROUND: Cervical cancer is the second leading cause of cancer cases and deaths among Filipino women because of inadequate access to screening and treatment services. This study aims to evaluate the health and economic benefits of HPV vaccination and its combination with different screening strategies to find the most optimal preventive strategy in the Philippines. METHODS: A cost-utility analysis was conducted using an existing semi-Markov model to evaluate different screening (i.e., Pap smear, visual inspection with acetic acid) and vaccination strategies against HPV infection implemented alone or as part of a combination strategy at different coverage scenarios. The model was run using country-specific epidemiologic, cost and clinical parameters from a health system perspective. Sensitivity analysis was performed for vaccine efficacy, duration of protection and costs of vaccination, screening and treatment. RESULTS: Across all coverage scenarios, VIA has been shown to be a dominant and cost-saving screening strategy with incremental cost-effectiveness ratio (ICER) ranging from dominant to Php 61,059 (1443 USD) per QALY gained. VIA can reduce cervical cancer cases and deaths by 25%. Pap smear screening was found to be not cost-effective due to its high cost in the Philippines. Adding HPV vaccination at a cost of 54 USD per vaccinated girl on top of VIA screening was found to be potentially cost-effective using a threshold of 1 GDP per capita (i.e., Php 120,000 or 2835 USD/ QALY) with the most favorable assumption of providing lifelong immunity against high-risk oncogenic HPV types 16/18. The highest incremental QALY gain was achieved with 80% coverage of the combined strategy of VIA at 35 to 45 years old done every five years following vaccination at 11 years of age with an ICER of Php 33,126 (783 USD). This strategy may result in a two-thirds reduction in cervical cancer burden. HPV vaccination is not cost-effective when vaccine protection lasts for less than 20 years. CONCLUSION: High VIA coverage targeting women aged 35-45 years old at five-year intervals is the most efficient and cost-saving strategy in reducing cervical cancer burden in the Philippines. Adding a vaccination program at high coverage among 11-year-old girls is potentially cost-effective in the Philippines assuming a life-long duration of vaccine efficacy.;Research Support, Non-U.S. Gov't,Adolescent,Adult,Cost-Benefit Analysis,Early Detection of Cancer/economics,Female,Humans,Managed Care Programs/economics,Middle Aged,Papanicolaou Test/economics,Papillomavirus Infections/economics*,Papillomavirus Infections/prevention & control*,Papillomavirus Vaccines/administration & dosage,Papillomavirus Vaccines/economics*,Philippines/ethnology,Uterine Cervical Neoplasms/economics*,Uterine Cervical Neoplasms/prevention & control*,Vaccination/economics*,Vaccination/statistics & numerical data,Papillomavirus Vaccines;26223975;
Aspirin as an adjunct to screening for prevention of sporadic colorectal cancer. A cost-effectiveness analysis.;Ladabaum U1, Chopra CL, Huang G, Scheiman JM, Chernew ME, Fendrick AM.;Ann Intern Med. 2001 Nov 6.135(9):769-81.;Abstract BACKGROUND: Aspirin may decrease colorectal cancer incidence, but its role as an adjunct to or substitute for screening has not been evaluated. OBJECTIVE: To examine the potential cost-effectiveness of aspirin chemoprophylaxis in relation to screening. DESIGN: Markov model. DATA SOURCES: Literature on colorectal cancer epidemiology, screening, costs, and aspirin chemoprevention (1980-1999). TARGET POPULATION: General U.S. population. TIME HORIZON: 50 to 80 years of age. PERSPECTIVE: Third-party payer. INTERVENTION: Aspirin therapy in patients screened with sigmoidoscopy every 5 years and fecal occult blood testing every year (FS/FOBT) or colonoscopy every 10 years (COLO). OUTCOME MEASURES: Discounted cost per life-year gained. RESULTS OF BASE-CASE ANALYSIS: When a 30% reduction in colorectal cancer risk was assumed, aspirin increased costs and decreased life-years because of related complications as an adjunct to FS/FOBT and cost $149 161 per life-year gained as an adjunct to COLO. In patients already taking aspirin, screening with FS/FOBT or COLO cost less than $31 000 per life-year gained. RESULTS OF SENSITIVITY ANALYSIS: Cost-effectiveness estimates depended highly on the magnitude of colorectal cancer risk reduction with aspirin, aspirin-related complication rates, and the screening adherence rate in the population. However, when the model's inputs were varied over wide ranges, aspirin chemoprophylaxis remained generally non-cost-effective for patients who adhere to screening. CONCLUSIONS: In patients undergoing colorectal cancer screening, aspirin use should not be based on potential chemoprevention. Aspirin chemoprophylaxis alone cannot be considered a substitute for colorectal cancer screening. Public policy should focus on improving screening adherence, even in patients who are already taking aspirin.;Research Support, U.S. Gov't, P.H.S.,Anti-Inflammatory Agents, Non-Steroidal/economics,Anti-Inflammatory Agents, Non-Steroidal/therapeutic use*,Aspirin/economics,Aspirin/therapeutic use*,Colonoscopy/economics,Colorectal Neoplasms/epidemiology,Colorectal Neoplasms/prevention & control*,Cost-Benefit Analysis,Decision Support Techniques,Humans,Markov Chains,Mass Screening/economics*,Occult Blood,Sensitivity and Specificity,Sigmoidoscopy/economics,Anti-Inflammatory Agents, Non-Steroidal,Aspirin,M01-RR00042/RR/NCRR NIH HHS/United States,M01-RR00079/RR/NCRR NIH HHS/United States;11694102;
Association between human papillomavirus vaccine uptake and cervical cancer screening in the Netherlands: implications for future impact on prevention.;Steens A1, Wielders CC, Bogaards JA, Boshuizen HC, de Greeff SC, de Melker HE.;Int J Cancer. 2013 Feb 15.132(4):932-43. doi: 10.1002/ijc.27671. Epub 2012 Jul 3.;Abstract Several countries recently added human papillomavirus (HPV) vaccination to cervical cancer screening in the effort to prevent cervical cancer. They include the Netherlands, where both programs are free. To estimate their combined future impact on cancer prevention, information is needed on the association between participation in vaccination now and in screening in the future and on what groups are at risk for nonparticipation. We studied the association between participation in screening by mothers and in vaccination by their daughters. Girls' vaccination status was matched by house-address with their mothers' screening participation. We estimated the effect on cancer incidence by means of computer simulation. We investigated risk groups for nonparticipation using multivariable multilevel logistic regression and calculated population-attributable fractions. Our results, based on 89% of girls invited for vaccination in 2009 (n = 337,368), show that vaccination status was significantly associated with mothers' screening participation (odds ratio: 1.54 [95% confidence interval: 1.51-1.57]). If a mother's screening is taken as proxy of a girl's future screening, only 13% of the girls will not participate in either program compared to 23% if screening alone is available. The positive association between vaccination and screening resulted in slightly lower model estimates of the impact of vaccination on cancer incidence, compared to estimates assuming no association. Girls with nonwestern ethnicities, with young mothers, who live in urban areas with low socioeconomic status, are at risk for nonparticipation. A significant part of potential nonscreeners may be reached through HPV vaccination. Estimates made before vaccination was introduced only slightly overestimated its impact on cervical cancer incidence.;Adolescent,Adult,Child,Early Detection of Cancer,Female,Humans,Middle Aged,Mothers,Netherlands,Nuclear Family,Papillomavirus Infections/prevention & control*,Papillomavirus Infections/virology,Papillomavirus Vaccines/administration & dosage*,Patient Participation*,Uterine Cervical Neoplasms/diagnosis*,Uterine Cervical Neoplasms/prevention & control*,Uterine Cervical Neoplasms/virology,Vaccination,Young Adult,Papillomavirus Vaccines;22689326;
Canada's Population Health Model (POHEM): a tool for performing economic evaluations of cancer control interventions.;Will BP1, Berthelot JM, Nobrega KM, Flanagan W, Evans WK.;Eur J Cancer. 2001 Sep.37(14):1797-804.;Abstract This paper describes the Population Health Model (POHEM) developed by Statistics Canada and shows its usefulness in the evaluation of cancer control interventions and policy decision-making. Models of the costs of diagnosis and treatment of lung and breast cancer were developed and incorporated into POHEM. Then, POHEM was used to evaluate the economic impact of chemotherapy for advanced non-small cell lung cancer. reduced length of hospital stay following breast cancer surgery. and the provision of preventive tamoxifen to women at high risk of breast cancer. A lung cancer chemotherapy treatment decision framework was developed to rank order currently available chemotherapy regimens according to relative cost-effectiveness and cost-utility. Reducing post-surgical breast cancer hospitalisation with optimal home care support could produce major healthcare savings. However, the provision of preventive tamoxifen was estimated to have no population health benefit. This paper demonstrates that POHEM is an effective tool for performing economic evaluations of cancer control interventions and to inform healthcare policy decisions.;Antineoplastic Combined Chemotherapy Protocols/economics,Antineoplastic Combined Chemotherapy Protocols/therapeutic use,Breast Neoplasms/economics*,Breast Neoplasms/therapy,Canada,Carcinoma, Non-Small-Cell Lung/economics*,Carcinoma, Non-Small-Cell Lung/therapy,Cost of Illness,Cost-Benefit Analysis,Female,Health Care Costs,Humans,Length of Stay,Lung Neoplasms/economics*,Lung Neoplasms/therapy,Models, Econometric*,Monte Carlo Method,Quality-Adjusted Life Years,Tamoxifen/therapeutic use,Treatment Outcome,Tamoxifen;11549434;
Comparing the benefits of screening for breast cancer and lung cancer using a novel natural history model;Lin, Ray S., Plevritis, Sylvia K.;CANCER CAUSES & CONTROL,2012;;;WOS:000297757400017;
Cost-effectiveness analysis of HPV vaccination alongside cervical cancer screening programme in Slovenia.;Obradovic M1, Mrhar A, Kos M.;Eur J Public Health. 2010 Aug.20(4):415-21. doi: 10.1093/eurpub/ckp208. Epub 2010 Jul 12.;Abstract BACKGROUND: The objective of the present study is to evaluate the cost-effectiveness of human papillomavirus (HPV) vaccination alongside cervical cancer screening programme in Slovenia. METHODS: A previously published Markov model representing natural history of HPV infection was adapted to Slovenian context. The model followed a cohort of 12-year-old girls to 85-year-old women. Two strategies were compared: HPV vaccination alongside conventional cytological screening versus screening alone. Analysis was performed from the health care payer perspective. RESULTS: Vaccination with screening compared with screening alone was associated with an incremental cost-effectiveness ratio (ICER) of 23,178 EUR per quality adjusted life-year (QALY) gained and 54,536 EUR per life-year gained (LYG) at the discounting rate of 5%. Sensitivity analyses demonstrated that the ICER was most sensitive to the need for booster dose and to different values of discount rates. In case the booster dose was assumed 10 years after initial vaccination, the ICER value was increased to 58,690 EUR per QALY. On the other hand, using lower values of discount rates than the base case 5% significantly reduced the ICER value. CONCLUSION: According to the cost-effectiveness thresholds of 30,000 EUR per QALY which was adopted by the Health Council in Slovenia, HPV vaccination alongside screening programme can be regarded as cost-effective. However, cost-effectiveness of HPV vaccination would become questionable in case a booster dose was needed to provide lifetime protection.;Research Support, Non-U.S. Gov't,Adolescent,Adult,Aged,Child,Cohort Studies,Cost-Benefit Analysis,Early Detection of Cancer/economics*,Female,Humans,Incidence,Markov Chains,Mass Screening/economics,Middle Aged,Papillomavirus Vaccines/economics*,Program Evaluation,Slovenia/epidemiology,Uterine Cervical Neoplasms/diagnosis*,Uterine Cervical Neoplasms/epidemiology,Uterine Cervical Neoplasms/prevention & control,Young Adult,Papillomavirus Vaccines;20624834;
Cost-effectiveness of cervical cancer screening and preventative cryotherapy at an HIV treatment clinic in Kenya;Zimmermann, Marita R., Vodicka, Elisabeth, Babigumira, Joseph B., Okech, Timothy, Mugo, Nelly, Sakr, Samah, Garrison, Louis P., Chung, Michael H.;COST EFFECTIVENESS AND RESOURCE ALLOCATION,2017;;;WOS:000405681200001;
Cost-effectiveness of human papillomavirus vaccination and screening in Spain.;Diaz M1, de Sanjose S, Ortendahl J, O'Shea M, Goldie SJ, Bosch FX, Kim JJ.;Eur J Cancer. 2010 Nov.46(16):2973-85. doi: 10.1016/j.ejca.2010.06.016. Epub 2010 Jul 16.;Abstract BACKGROUND: In Spain, prophylactic vaccination against human papillomavirus (HPV) types 16 and 18 is being offered free-of-charge to one birth cohort of girls aged 11-14. Screening is opportunistic (annual/biannual) contributing to social and geographical disparities. METHODS: A multi-HPV-type microsimulation model was calibrated to epidemiologic data from Spain utilising likelihood-based methods to assess the health and economic impact of adding HPV vaccination to cervical cancer screening. Strategies included (1) screening alone of women over age 25, varying frequency (every 1-5 years) and test (cytology, HPV DNA testing). (2) HPV vaccination of 11-year-old girls combined with screening. Outcomes included lifetime cancer risk, life expectancy, lifetime costs, number of clinical procedures and incremental cost-effectiveness ratios. RESULTS: After the introduction of HPV vaccination, screening will need to continue, and strategies that incorporated HPV testing are more effective and cost-effective than those with cytology alone. For vaccinated girls, 5-year organised cytology with HPV testing as triage from ages 30 to 65 costs 24,350¯õ? per year of life saved (YLS), assuming life-long vaccine immunity against HPV-16/18 by 3 doses with 90% coverage. Unvaccinated girls would benefit from organised cytology screening with HPV testing as triage. 5-year screening from ages 30 to 65 costs 16,060¯õ?/YLS and 4-year screening from ages 30 to 85 costs 38,250¯õ?/YLS. Interventions would be cost-effective depending on the cost-effectiveness threshold and the vaccine price. CONCLUSIONS: In Spain, inequitable coverage and overuse of cytology make screening programmes inefficient. If high vaccination coverage among pre-adolescent girls is achieved, organised cytology screening with HPV triage starting at ages 30 to at least 65 every 4-5 years represents the best balance between costs and benefits. Copyright ¯õ? 2010 Elsevier Ltd. All rights reserved.;Research Support, Non-U.S. Gov't,Adolescent,Adult,Aged,Aged, 80 and over,Cervical Intraepithelial Neoplasia/economics*,Cervical Intraepithelial Neoplasia/epidemiology,Cervical Intraepithelial Neoplasia/prevention & control,Child,Cost-Benefit Analysis,Cytological Techniques/economics,Female,Human papillomavirus 16*,Human papillomavirus 18*,Humans,Incidence,Mass Screening/economics,Mass Screening/methods,Middle Aged,Papillomavirus Infections/economics*,Papillomavirus Infections/epidemiology,Papillomavirus Infections/prevention & control,Papillomavirus Vaccines/economics*,Quality-Adjusted Life Years,Risk Factors,Spain/epidemiology,Uterine Cervical Neoplasms/economics*,Uterine Cervical Neoplasms/epidemiology,Uterine Cervical Neoplasms/prevention & control,Vaccination/economics,Vaccination/methods,Young Adult,Papillomavirus Vaccines;20638840;
