Primary Purpose; While models are often multi-purpose, this property describes the effort&#39s initial primary goal. Not subsequent or ancillary uses. 
;
;
;
;
Features; This property group addresses specific features modeling teams have chosen to include in models. 
Prevention; Features concerned with evaluation of methods and effects of approaches to cancer prevention. 
Treatment; Features involving the treatment of detected disease, often differentiated by temporal variables (e.g.&#58 calendar year, age) and/or mode of detection. 
Micro Simulation; Computer models that operate at the level of individuals or smaller entities such as tumors or cells are considered &#39micro simulations&#39. Micro simulations may involve sub-components that are analytical in nature. That is, micro simulations may involve sub-components that are strictly analytical, but the complete model cannot be represented as a closed form equation. 
;
;
;
;
Unit of Analysis; This property defines the smallest entity the model is concerned with. While models may aggregate to person or population levels, those aggregations may be generated on the basis of explicit simulation of individual tumors or cells. This property clarifies the lowest level of explicit simulation. 
BCSC; Breast Cancer Surveillance Consortium\xa0<br/> http&#58//breastscreening.cancer.gov/ 
SEER; Surveillance, Epidemiology, and End Results <br/> http&#58//seer.cancer.gov/ 
Linked; A linked data set is a combination of otherwise separate data sets whereby records have been linked via matching of attributes or common identifiers. 
NCCN; National Comprehensive Cancer Network <br/> http&#58//www.nccn.org/ 
Stage Shift; Benefit from early detection is realized, in part or in whole, by reduction of stage at time of detection and treatment. 
Temporal Trends; Treatment benefit may be affected by one or more temporal trends including calendar year, age and/or birth cohort.
Cure Rate; Benefit is attributed based on a cure/no-cure rate that is advantageous for screen-detected cancers 
Modality; Benefit varies depending on treatment method, which may in turn depend on dissemination of treatment modality. 
Estrogen receptor (ER) Status; Treatment benefit is allocated based on estrogen receptor (ER) status 
Incidence; Outputs concerning in incidence of disease 
Attendance; Model inputs concerned with screening attendance and the uptake of disseminated screening opportunity. Models that simulate this aspect of screening often employ economic aspects of promotion and human behavior. 
Dissemination; Model inputs concerned with the availability of specific treatments. For example, treatment availability may depend on calendar year and/or geographic region. 
Effect; Outputs regarding the effect of screening 
Precancer; Model inputs associated with the treatment of precancer lesions
Efficacy; Model inputs concerned with the capacity for beneficial change  in laboratory studies or clinical trials.  
Observed; The actual percentage of patients still alive at some specified time after diagnosis of cancer. It considers deaths from all causes, cancer or otherwise.  
Relative; An estimate of the percentage of patients who would be expected to survive the effects of their cancer. 
Other cause; Inputs concerned with the probability of death at a certain age from causes other than the disease under investigation. 
Disease-specific; Inputs concerned with the probability of cause of death being due to the disease under investigation vs other general causes.  
Risk Factor; Inputs concerned with risk factors the model considers specifically as opposed to implicitly in other model inputs.
Age; Inputs that drive age-based risk in addition to typical age-specific parameters such as incidence and survival 
Outcomes; Outcomes are the population effects deemed interesting in the context of the interventions or exposures being modeled. Typical outcomes are survival, morbidity, mortality and other such results one would expect to be affected by interventions and trends in risk.\xa0
Survival; Measurements of time between diagnosis and death. 
Life years; Measurements of difference of life years  
Cause-specific Mortality; Cause of death is accounted for, at least in terms of target disease vs other causes.  
All-cause Mortality; Mortality from any cause is provided 
;
;
;
;
;
;
Screening; Features concerned with detection of pre-clinical cancer in individuals or sub-populations.  
