;;;year
Bayesian Simulation Model (MDACC);Huang X, Li Y, Song J, Berry DA, A Bayesian Simulation Model for Breast Cancer Screening, Incidence, Treatment, and Mortality, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28627297;2018
Bayesian Simulation Model (MDACC);Mandelblatt JS, Near AM, Miglioretti DL, Munoz D, Sprague BL, Trentham-Dietz A, Gangnon R, Kurian AW, Weedon-Fekjaer H, Cronin KA, Plevritis SK, et al., Common Model Inputs Used in CISNET Collaborative Breast Cancer Modeling, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554466;2018
Bayesian Simulation Model (MDACC);van den Broek JJ, van Ravesteyn NT, Mandelblatt JS, Huang H, Ergun MA, Burnside ES, Xu C, Li Y, Alagoz O, Lee SJ, Stout NK, et al., Comparing CISNET Breast Cancer Incidence and Mortality Predictions to Observed Clinical Trial Results of Mammography Screening from Ages 40 to 49, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554468;2018
Bayesian Simulation Model (MDACC);Alagoz O, Berry DA, de Koning HJ, Feuer EJ, Lee SJ, Plevritis SK, Schechter CB, Stout NK, Trentham-Dietz A, Mandelblatt JS, Introduction to the Cancer Intervention and Surveillance Modeling Network (CISNET) Breast Cancer Models, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554472;2018
Bayesian Simulation Model (MDACC);Plevritis SK, Munoz D, Kurian AW, Stout NK, Alagoz O, Near AM, Lee SJ, van den Broek JJ, Huang X, Schechter CB, Sprague BL, et al., Association of Screening and Treatment With Breast Cancer Mortality by Molecular Subtype in US Women, 2000-2012, JAMA, Jan. 9, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29318276;2018
BCOS (Stanford);Munoz DF, Plevritis SK, Estimating Breast Cancer Survival by Molecular Subtype in the Absence of Screening and Adjuvant Treatment, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554464;2018
BCOS (Stanford);Mandelblatt JS, Near AM, Miglioretti DL, Munoz D, Sprague BL, Trentham-Dietz A, Gangnon R, Kurian AW, Weedon-Fekjaer H, Cronin KA, Plevritis SK, et al., Common Model Inputs Used in CISNET Collaborative Breast Cancer Modeling, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554466;2018
BCOS (Stanford);van den Broek JJ, van Ravesteyn NT, Mandelblatt JS, Huang H, Ergun MA, Burnside ES, Xu C, Li Y, Alagoz O, Lee SJ, Stout NK, et al., Comparing CISNET Breast Cancer Incidence and Mortality Predictions to Observed Clinical Trial Results of Mammography Screening from Ages 40 to 49, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554468;2018
BCOS (Stanford);van den Broek JJ, van Ravesteyn NT, Mandelblatt JS, Cevik M, Schechter CB, Lee SJ, Huang H, Li Y, Munoz DF, Plevritis SK, de Koning HJ, et al., Comparing CISNET Breast Cancer Models Using the Maximum Clinical Incidence Reduction Methodology, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554471;2018
BCOS (Stanford);Alagoz O, Berry DA, de Koning HJ, Feuer EJ, Lee SJ, Plevritis SK, Schechter CB, Stout NK, Trentham-Dietz A, Mandelblatt JS, Introduction to the Cancer Intervention and Surveillance Modeling Network (CISNET) Breast Cancer Models, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554472;2018
BCOS (Stanford);Munoz DF, Xu C, Plevritis SK, A Molecular Subtype-Specific Stochastic Simulation Model of US Breast Cancer Incidence, Survival, and Mortality Trends from 1975 to 2010, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554473;2018
BCOS (Stanford);Plevritis SK, Munoz D, Kurian AW, Stout NK, Alagoz O, Near AM, Lee SJ, van den Broek JJ, Huang X, Schechter CB, Sprague BL, et al., Association of Screening and Treatment With Breast Cancer Mortality by Molecular Subtype in US Women, 2000-2012, JAMA, Jan. 9, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29318276;2018
CISNET-DFCI (Dana-Farber);Lee SJ, Li X, Huang H, Zelen M, The Dana-Farber CISNET Model for Breast Cancer Screening Strategies: An Update, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554465;2018
CISNET-DFCI (Dana-Farber);Mandelblatt JS, Near AM, Miglioretti DL, Munoz D, Sprague BL, Trentham-Dietz A, Gangnon R, Kurian AW, Weedon-Fekjaer H, Cronin KA, Plevritis SK, et al., Common Model Inputs Used in CISNET Collaborative Breast Cancer Modeling, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554466;2018
CISNET-DFCI (Dana-Farber);van den Broek JJ, van Ravesteyn NT, Mandelblatt JS, Huang H, Ergun MA, Burnside ES, Xu C, Li Y, Alagoz O, Lee SJ, Stout NK, et al., Comparing CISNET Breast Cancer Incidence and Mortality Predictions to Observed Clinical Trial Results of Mammography Screening from Ages 40 to 49, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554468;2018
CISNET-DFCI (Dana-Farber);van den Broek JJ, van Ravesteyn NT, Mandelblatt JS, Cevik M, Schechter CB, Lee SJ, Huang H, Li Y, Munoz DF, Plevritis SK, de Koning HJ, et al., Comparing CISNET Breast Cancer Models Using the Maximum Clinical Incidence Reduction Methodology, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554471;2018
CISNET-DFCI (Dana-Farber);Alagoz O, Berry DA, de Koning HJ, Feuer EJ, Lee SJ, Plevritis SK, Schechter CB, Stout NK, Trentham-Dietz A, Mandelblatt JS, Introduction to the Cancer Intervention and Surveillance Modeling Network (CISNET) Breast Cancer Models, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554472;2018
CISNET-DFCI (Dana-Farber);Plevritis SK, Munoz D, Kurian AW, Stout NK, Alagoz O, Near AM, Lee SJ, van den Broek JJ, Huang X, Schechter CB, Sprague BL, et al., Association of Screening and Treatment With Breast Cancer Mortality by Molecular Subtype in US Women, 2000-2012, JAMA, Jan. 9, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29318276;2018
MISCAN-Fadia (Erasmus);Mandelblatt JS, Near AM, Miglioretti DL, Munoz D, Sprague BL, Trentham-Dietz A, Gangnon R, Kurian AW, Weedon-Fekjaer H, Cronin KA, Plevritis SK, et al., Common Model Inputs Used in CISNET Collaborative Breast Cancer Modeling, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554466;2018
MISCAN-Fadia (Erasmus);van den Broek JJ, van Ravesteyn NT, Mandelblatt JS, Huang H, Ergun MA, Burnside ES, Xu C, Li Y, Alagoz O, Lee SJ, Stout NK, et al., Comparing CISNET Breast Cancer Incidence and Mortality Predictions to Observed Clinical Trial Results of Mammography Screening from Ages 40 to 49, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554468;2018
MISCAN-Fadia (Erasmus);van den Broek JJ, van Ravesteyn NT, Heijnsdijk EA, de Koning HJ, Simulating the Impact of Risk-Based Screening and Treatment on Breast Cancer Outcomes with MISCAN-Fadia, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554469;2018
MISCAN-Fadia (Erasmus);van den Broek JJ, van Ravesteyn NT, Mandelblatt JS, Cevik M, Schechter CB, Lee SJ, Huang H, Li Y, Munoz DF, Plevritis SK, de Koning HJ, et al., Comparing CISNET Breast Cancer Models Using the Maximum Clinical Incidence Reduction Methodology, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554471;2018
MISCAN-Fadia (Erasmus);Alagoz O, Berry DA, de Koning HJ, Feuer EJ, Lee SJ, Plevritis SK, Schechter CB, Stout NK, Trentham-Dietz A, Mandelblatt JS, Introduction to the Cancer Intervention and Surveillance Modeling Network (CISNET) Breast Cancer Models, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554472;2018
MISCAN-Fadia (Erasmus);Plevritis SK, Munoz D, Kurian AW, Stout NK, Alagoz O, Near AM, Lee SJ, van den Broek JJ, Huang X, Schechter CB, Sprague BL, et al., Association of Screening and Treatment With Breast Cancer Mortality by Molecular Subtype in US Women, 2000-2012, JAMA, Jan. 9, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29318276;2018
Spectrum/G-E (Georgetown/Einstein);Schechter CB, Near AM, Jayasekera J, Chandler Y, Mandelblatt JS, Structure, Function, and Applications of the Georgetown-Einstein (GE) Breast Cancer Simulation Model, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554462;2018
Spectrum/G-E (Georgetown/Einstein);Mandelblatt JS, Near AM, Miglioretti DL, Munoz D, Sprague BL, Trentham-Dietz A, Gangnon R, Kurian AW, Weedon-Fekjaer H, Cronin KA, Plevritis SK, et al., Common Model Inputs Used in CISNET Collaborative Breast Cancer Modeling, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554466;2018
Spectrum/G-E (Georgetown/Einstein);van den Broek JJ, van Ravesteyn NT, Mandelblatt JS, Cevik M, Schechter CB, Lee SJ, Huang H, Li Y, Munoz DF, Plevritis SK, de Koning HJ, et al., Comparing CISNET Breast Cancer Models Using the Maximum Clinical Incidence Reduction Methodology, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554471;2018
Spectrum/G-E (Georgetown/Einstein);Alagoz O, Berry DA, de Koning HJ, Feuer EJ, Lee SJ, Plevritis SK, Schechter CB, Stout NK, Trentham-Dietz A, Mandelblatt JS, Introduction to the Cancer Intervention and Surveillance Modeling Network (CISNET) Breast Cancer Models, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554472;2018
Spectrum/G-E (Georgetown/Einstein);Plevritis SK, Munoz D, Kurian AW, Stout NK, Alagoz O, Near AM, Lee SJ, van den Broek JJ, Huang X, Schechter CB, Sprague BL, et al., Association of Screening and Treatment With Breast Cancer Mortality by Molecular Subtype in US Women, 2000-2012, JAMA, Jan. 9, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29318276;2018
UWBCS (Wisconsin);Mandelblatt JS, Near AM, Miglioretti DL, Munoz D, Sprague BL, Trentham-Dietz A, Gangnon R, Kurian AW, Weedon-Fekjaer H, Cronin KA, Plevritis SK, et al., Common Model Inputs Used in CISNET Collaborative Breast Cancer Modeling, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554466;2018
UWBCS (Wisconsin);Gangnon RE, Stout NK, Alagoz O, Hampton JM, Sprague BL, Trentham-Dietz A, Contribution of Breast Cancer to Overall Mortality for US Women, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554467;2018
UWBCS (Wisconsin);van den Broek JJ, van Ravesteyn NT, Mandelblatt JS, Huang H, Ergun MA, Burnside ES, Xu C, Li Y, Alagoz O, Lee SJ, Stout NK, et al., Comparing CISNET Breast Cancer Incidence and Mortality Predictions to Observed Clinical Trial Results of Mammography Screening from Ages 40 to 49, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554468;2018
UWBCS (Wisconsin);Alagoz O, Ergun MA, Cevik M, Sprague BL, Fryback DG, Gangnon RE, Hampton JM, Stout NK, Trentham-Dietz A, The University of Wisconsin Breast Cancer Epidemiology Simulation Model: An Update, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554470;2018
